"i","index_silhouette_fuzzy"
2,5.23732445071889e+23
3,3.16917518089243e+26
4,1.23979389720565e+25
5,1.2094043548873e+29
6,1.17791796690658e+30
7,7.15342695042655e+25
8,7.15360071340344e+26
9,2.86032049661549e+25
10,1.02535810627476e+27
11,2.27456406705418e+28
12,2.45567086716208e+28
13,2.8364996946471e+27
14,4.88200231361897e+27
15,2.71263092820051e+26
16,1.11148475667868e+28
17,1.81621533583131e+26
18,7.81887630707613e+27
19,4.20185958251303e+31
20,4.40371688839988e+28
21,1.84393002525699e+26
22,2.75188910223371e+26
23,8.0446274797708e+28
24,1.21086661421805e+28
25,7.72093728638939e+26
26,1.18969622016746e+28
27,2.41302056063847e+28
28,9.70385565345289e+28
29,4.43348755463788e+31
30,3.35547567116201e+27
31,7.67482685079082e+30
32,1.86612652795224e+28
33,9.67064711913026e+29
34,9.29805951403184e+29
35,1.02596784255333e+28
36,1.6191541435393e+28
37,Inf
38,Inf
39,1.95882768457206e+30
40,2.4377636815503e+28
41,Inf
42,5.84854405837073e+31
43,6.93933191226372e+28
44,3.68241956407899e+29
45,1.73962741951254e+31
